







SparkFun Displacement Sensor Example
waiting to start...

















































Characterizing Negative Y
251022.00,-7.97,-4.43,22
251074.00,-7.97,-4.43,22
251126.00,-7.97,-4.43,22
251179.00,-7.97,-5.30,22
251232.00,-7.97,-5.92,22
251284.00,-7.97,-5.92,22
251336.00,-7.97,-4.71,22
251388.00,-7.97,-4.71,22
251441.00,-7.97,-5.50,22
251493.00,-7.97,-6.10,22
251545.00,-7.97,-5.52,22
251597.00,-7.97,-4.51,22
251650.00,-7.97,-4.51,22


















































activating antagonistic y
2, 6.97
activating antagonistic y
2, 7.47
activating antagonistic y
2, 7.47
activating antagonistic y
2, 6.78
activating antagonistic y
2, 6.78



















































































































































































































































































































































































































































































































































































































































































































































































































































